Test subject,Telephone,Carrying location,Date,Trial,Floor height,Speed,Pause,Measured # steps,Floors healthdb_secure.sqlite,Floors cache_encryptedC.db,Measured number of floors
1,11 (13.1.1),Hand R,20210921,2,3,W,Yes,55,0,-2,-2
1,11 (13.1.1),Trouser front L,20210921,3,3,R,Yes,27,1,1,1
1,11 (13.1.1),Trouser front L,20210921,4,3,W,No,57,0,-1,-1
1,11 (13.1.1),Hand R,20210921,5,3,W,Yes,,1,1,1
1,11 (13.1.1),Hand R,20210921,6,3,W,Yes,28,1,1,1
1,11 (13.1.1),Hand R,20210921,7,3,R,No,30,1,1,1
1,11 (13.1.1),Hand R,20210921,8,3,W,Yes,81,0,-3,-3
1,11 (13.1.1),Hand R,20210921,9,3,W,No,84,3,2,3
1,11 (13.1.1),Hand R,20210921,10,3,R,Yes,27,0,-1,-1
1,11 (13.1.1),Hand R,20210921,11,3,W,No,54,0,-2,-2
1,11 (13.1.1),Hand R,20210921,12,3,W,Yes,86,3,3,3
1,11 (13.1.1),Hand R,20210921,13,3,W,Yes,83,0,-3,-3
1,11 (13.1.1),Hand R,20210921,14,3,W,No,60,2,2,2
1,11 (13.1.1),Hand R,20210921,15,3,R,Yes,54,0,-2,-2
1,11 (13.1.1),Hand R,20210921,16,3,R,Yes,90,3,3,3
1,11 (13.1.1),Hand R,20210921,17,3,W,No,81,0,-3,-3
1,11 (13.1.1),Hand R,20210921,18,3,R,No,26,1,1,1
1,11 (13.1.1),Hand R,20210921,19,3,W,Yes,26,0,-1,-1
1,11 (13.1.1),Hand R,20210921,20,3,R,No,57,2,2,2
1,11 (13.1.1),Hand R,20210921,21,3,W,Yes,26,1,1,1
1,11 (13.1.1),Hand R,20210921,22,3,W,No,80,0,-3,-3
1,11 (13.1.1),Hand R,20210921,23,3,W,Yes,84,3,3,3
1,11 (13.1.1),Hand R,20210921,24,3,W,No,25,0,-1,-1
1,11 (13.1.1),Hand R,20210921,25,3,R,No,29,0,-1,-1
1,11 (13.1.1),Hand R,20210921,26,3,R,Yes,53,1,-1,-1
1,11 (13.1.1),Hand R,20210921,27,3,R,Yes,53,1,2,2
